Ledger ID,Vendor,Amount,Date,Tax Category,Review Status
LED20001,RazorPay Gateway Settlement,184500.0,2026-07-01,GST 18%,VERIFIED
LED20002,AWS India,32750.0,2026-07-02,GST 18%,VERIFIED
LED20003,ABC Office Supplies,12840.0,2026-07-03,GST 18%,VERIFIED
LED20004,Freshdesk Technologies,9150.0,2026-07-04,GST 18%,VERIFIED
LED20005,Enterprise Client A,96500.0,2026-07-05,GST 18%,VERIFIED
LED20006,Google Workspace,6850.0,2026-07-06,GST 18%,VERIFIED
LED20007,Metro Internet Services,4250.0,2026-07-08,GST 18%,VERIFIED
LED20008,RazorPay Gateway Settlement,143750.0,2026-07-09,GST 18%,VERIFIED
LED20009,Staff Payroll Account,58200.0,2026-07-11,Payroll - Non GST,VERIFIED
LED20010,Enterprise Client B,67500.0,2026-07-12,GST 18%,VERIFIED
LED20011,Adobe Creative Cloud,11200.0,2026-07-14,GST 18%,VERIFIED
LED20012,ABC Office Supplies,24750.0,2026-07-15,GST 18%,VERIFIED
LED20013,Cloudflare,5350.0,2026-07-17,GST 18%,VERIFIED
LED20014,Enterprise Client C,128000.0,2026-07-19,GST 18%,VERIFIED
LED20015,Staff Payroll Account,61400.0,2026-07-20,Payroll - Non GST,VERIFIED
LED20016,Office Rent - Chennai,35000.0,2026-07-22,GST Exempt,VERIFIED
LED20017,RazorPay Gateway Settlement,216500.0,2026-07-23,GST 18%,VERIFIED
LED20018,DigitalOcean,7800.0,2026-07-25,GST 18%,VERIFIED
LED20019,Legal Consultancy,28500.0,2026-07-26,GST Exempt,VERIFIED
LED20020,Enterprise Client D,152000.0,2026-07-28,GST 18%,VERIFIED
LED20021,Slack Technologies,4200.0,2026-07-29,GST 18%,VERIFIED
LED20022,Travel Reimbursement,14650.0,2026-07-30,GST Exempt,VERIFIED
LED20023,RazorPay Gateway Settlement,98750.0,2026-07-31,GST 18%,VERIFIED
