date,cash_inflow,cash_outflow,net_cash_flow
2026-06-01,142500.00,68400.00,74100.00
2026-06-02,98500.00,52750.00,45750.00
2026-06-03,62500.00,71800.00,-9300.00
2026-06-04,184000.00,93500.00,90500.00
2026-06-05,76500.00,48200.00,28300.00
2026-06-06,45800.00,69200.00,-23400.00
2026-06-07,210000.00,85500.00,124500.00
2026-06-08,93500.00,44600.00,48900.00
2026-06-09,67500.00,81200.00,-13700.00
2026-06-10,156000.00,72500.00,83500.00
2026-06-11,54000.00,91800.00,-37800.00
2026-06-12,89000.00,57300.00,31700.00
2026-06-13,198500.00,104500.00,94000.00
2026-06-14,73500.00,51200.00,22300.00
2026-06-15,124000.00,88500.00,35500.00
2026-06-16,48500.00,76300.00,-27800.00
2026-06-17,167500.00,69400.00,98100.00
2026-06-18,62000.00,92700.00,-30700.00
2026-06-19,225000.00,108500.00,116500.00
2026-06-20,81500.00,58300.00,23200.00
2026-06-21,59000.00,84500.00,-25500.00
2026-06-22,143000.00,73500.00,69500.00
2026-06-23,94500.00,66700.00,27800.00
2026-06-24,51000.00,98200.00,-47200.00
2026-06-25,189500.00,79500.00,110000.00
2026-06-26,68500.00,74100.00,-5600.00
2026-06-27,112000.00,63500.00,48500.00
2026-06-28,47500.00,89600.00,-42100.00
2026-06-29,236000.00,91500.00,144500.00
2026-06-30,92500.00,104800.00,-12300.00
