entry_id,date,description,reference,category,amount,tax_category
LED20001,2026-07-01,RazorPay Gateway Settlement,SETTLE-260701,Income,184500.00,GST 18%
LED20002,2026-07-02,AWS India,AWS-INV-270702,Expense,32750.00,GST 18%
LED20003,2026-07-03,ABC Office Supplies,INV-OS-2048,Expense,12840.00,GST 18%
LED20004,2026-07-04,Freshdesk Technologies,FD-270704,Expense,9150.00,GST 18%
LED20005,2026-07-05,Enterprise Client A,PAY-270705,Income,96500.00,GST 18%
LED20006,2026-07-06,Google Workspace,GW-270706,Expense,6850.00,GST 18%
LED20007,2026-07-08,Metro Internet Services,NET-270708,Expense,4250.00,GST 18%
LED20008,2026-07-09,RazorPay Gateway Settlement,SETTLE-260709,Income,143750.00,GST 18%
LED20009,2026-07-11,Staff Payroll Account,PAYROLL-0711,Expense,58200.00,Payroll - Non GST
LED20010,2026-07-12,Enterprise Client B,PAY-270712,Income,67500.00,GST 18%
LED20011,2026-07-14,Adobe Creative Cloud,ADOBE-0714,Expense,11200.00,GST 18%
LED20012,2026-07-15,ABC Office Supplies,INV-OS-2081,Expense,24750.00,GST 18%
LED20013,2026-07-17,Cloudflare,CF-270717,Expense,5350.00,GST 18%
LED20014,2026-07-19,Enterprise Client C,PAY-270719,Income,128000.00,GST 18%
LED20015,2026-07-20,Staff Payroll Account,PAYROLL-0720,Expense,61400.00,Payroll - Non GST
LED20016,2026-07-22,Office Rent - Chennai,RENT-JUL26,Expense,35000.00,GST Exempt
LED20017,2026-07-23,RazorPay Gateway Settlement,SETTLE-260723,Income,216500.00,GST 18%
LED20018,2026-07-25,DigitalOcean,DO-270725,Expense,7800.00,GST 18%
LED20019,2026-07-26,Legal Consultancy,LEGAL-0726,Expense,28500.00,GST Exempt
LED20020,2026-07-28,Enterprise Client D,PAY-270728,Income,152000.00,GST 18%
LED20021,2026-07-29,Slack Technologies,SLACK-0729,Expense,4200.00,GST 18%
LED20022,2026-07-30,Travel Reimbursement,TRAVEL-0730,Expense,14650.00,GST Exempt
LED20023,2026-07-31,RazorPay Gateway Settlement,SETTLE-260731,Income,98750.00,GST 18%
